Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60774.6,14.25117,40.9594,-20.73164,98.87563,-0.007628343,1,2.386685,52.81222,4.55557,0,0
60774.7,42.56576,40.9594,-20.73164,98.87563,-0.007628343,1,2.386685,52.54857,4.55557,1,0
60774.8,42.05689,39.44792,-19.49031,99.05141,-0.00551052,1,2.291827,52.02129,4.55557,0,0
60774.9,16.37294,39.44792,-19.49031,99.05141,-0.00551052,1,2.291827,52.02129,4.55557,0,0
60775,8.088276,38.04068,-18.76529,99.61722,-0.002646522,1,2.183418,52.02129,4.55557,0,0
60775.1,20.0101,38.04068,-18.76529,99.61722,-0.002646522,1,2.183418,52.02129,4.55557,0,0
60775.2,21.94212,36.97086,-18.06774,99.82047,-0.004094981,1,2.020804,52.02129,4.55557,0,0
60775.3,20.49024,36.97086,-18.06774,99.82047,-0.004094981,1,2.020804,52.02129,4.55557,0,0
60775.4,17.34986,36.1287,-17.79311,99.70512,-0.004731425,1,1.912395,52.02129,4.55557,0,0
60775.5,5.48895,36.1287,-17.79311,99.70512,-0.004731425,1,1.912395,52.02129,4.55557,0,0
60775.6,-13.32064,35.27833,-17.34821,100.1336,-0.004863103,1,1.817537,52.02129,4.55557,0,0
60775.7,-15.47662,35.27833,-17.34821,100.1336,-0.004863103,1,1.817537,52.02129,4.55557,0,0
60775.8,-24.06521,34.94641,-16.95823,99.02944,-0.00737596,1,1.722679,52.02129,4.55557,0,0
60775.9,15.61978,34.94641,-16.95823,99.02944,-0.00737596,1,1.722679,50.65653,4.55557,1,0
60776,-26.62433,34.20576,-16.70008,97.24963,-0.007803914,1,1.614269,47.92701,4.55557,0,0
60776.1,-17.87637,34.20576,-16.70008,97.24963,-0.007803914,1,1.614269,47.92701,4.55557,0,0
60776.2,-20.13576,33.60775,-15.45327,97.05737,-0.007639316,1,1.546514,47.92701,4.55557,0,0
60776.3,-2.173695,33.60775,-15.45327,97.05737,-0.007639316,1,1.546514,47.92701,4.55557,0,0
60776.4,1.532126,34.49379,-15.01935,94.93698,-0.009735192,1,1.465207,47.92701,4.55557,0,0
60776.5,4.083951,34.49379,-15.01935,94.93698,-0.009735192,1,1.465207,47.92701,4.55557,0,0
60776.6,6.683271,34.80925,-14.77219,92.75616,-0.01088738,1,1.343247,47.92701,4.55557,0,0
60776.7,8.85579,34.80925,-14.77219,92.75616,-0.01088738,1,1.343247,47.92701,4.55557,0,0
60776.8,8.611807,34.24965,-13.92083,93.39338,-0.01269795,1,1.26194,47.92701,4.55557,0,0
60776.9,9.175525,34.24965,-13.92083,93.39338,-0.01269795,1,1.26194,47.92701,4.55557,0,0
60777,9.402582,34.1701,-13.2068,92.08599,-0.01791021,1,1.194184,47.92701,4.55557,0,0
60777.1,27.86996,34.1701,-13.2068,92.08599,-0.01791021,1,1.194184,49.8899,4.55557,1,0
60777.2,23.23809,33.93144,-12.55318,89.18555,-0.02137773,1,1.072224,53.81568,4.55557,0,0
60777.3,-12.23112,33.93144,-12.55318,89.18555,-0.02137773,1,1.072224,53.81568,4.55557,0,0
60777.4,-24.66454,33.51174,-10.91639,87.85069,-0.02464774,1,0.9638146,53.81568,4.55557,0,0
60777.5,-13.52496,33.51174,-10.91639,87.85069,-0.02464774,1,0.9638146,53.81568,4.55557,0,0
60777.6,-6.565891,33.30875,-9.427903,84.9118,-0.03203268,1,0.9096101,53.81568,4.55557,0,0
60777.7,-8.97696,33.30875,-9.427903,84.9118,-0.03203268,1,0.9096101,53.81568,4.55557,0,0
60777.8,-8.002207,33.03992,-7.983354,81.69827,-0.03367866,1,0.8418544,53.81568,4.55557,0,0
60777.9,-4.794169,33.03992,-7.983354,81.69827,-0.03367866,1,0.8418544,53.81568,4.55557,0,0
60778,-3.536568,32.57632,-5.769843,79.07798,-0.03603789,1,0.7876498,53.81568,4.55557,0,0
60778.1,14.91442,32.57632,-5.769843,79.07798,-0.03603789,1,0.7876498,53.81568,4.55557,0,0
60778.2,16.02286,32.1868,-4.363742,76.73237,-0.04333505,1,0.6792407,53.81568,4.55557,0,0
60778.3,53.59103,32.1868,-4.363742,76.73237,-0.04333505,1,0.6792407,54.49964,4.55557,1,0
60778.4,-5.062422,32.54889,-3.386062,73.48586,-0.04194146,1,0.5979338,55.86757,4.55557,0,0
60778.5,-11.50762,32.54889,-3.386062,73.48586,-0.04194146,1,0.5979338,55.86757,4.55557,0,0
60778.6,-0.7061513,32.89453,-1.782228,70.09653,-0.03957125,1,0.5708316,55.86757,4.55557,0,0
60778.7,17.41864,32.89453,-1.782228,70.09653,-0.03957125,1,0.5708316,55.86757,4.55557,0,0
60778.8,23.64023,33.10575,-0.008124258,68.04206,-0.04749389,1,0.516627,55.86757,4.55557,0,0
60778.9,8.163772,33.10575,-0.008124258,68.04206,-0.04749389,1,0.516627,55.86757,4.55557,0,0
60779,-4.554798,33.18805,0.2555197,63.92762,-0.05394611,1,0.4488713,55.86757,4.55557,0,0
60779.1,-24.46685,33.18805,0.2555197,63.92762,-0.05394611,1,0.4488713,55.86757,4.55557,0,0
60779.2,-29.63939,33.03717,-0.1179759,58.742,-0.05704055,1,0.4353201,55.86757,4.55557,0,0
60779.3,6.661355,33.03717,-0.1179759,58.742,-0.05704055,1,0.4353201,57.47657,4.55557,1,0
60779.4,-31.78319,32.97683,-0.2278276,52.66647,-0.05667843,1,0.421769,60.69456,4.55557,0,0
60779.5,-47.02302,32.97683,-0.2278276,52.66647,-0.05667843,1,0.421769,60.69456,4.55557,0,0
60779.6,-48.08265,32.2252,-1.08467,47.47535,-0.05180634,1,0.326911,60.69456,4.55557,0,0
60779.7,-1.479404,32.2252,-1.08467,47.47535,-0.05180634,1,0.326911,60.69456,4.55557,0,0
60779.8,15.72691,30.7439,-1.809691,41.78985,-0.04973241,1,0.2591553,60.69456,4.55557,0,0
60779.9,14.40238,30.7439,-1.809691,41.78985,-0.04973241,1,0.2591553,60.69456,4.55557,0,0
60780,4.509637,29.90724,-2.391905,35.49459,-0.04866802,1,0.1778484,60.69456,4.55557,0,0
